34,"{'484411': 15, '484425': 16, '482225': 15, '484725': 16, '244411': 14, '244425': 15, '242225': 14, '244725': 15, '124425': 14, '124453': 15, '122225': 13, '122253': 14, '124711': 13, '124725': 14, '134411': 13, '134425': 14, '132210': 12, '132211': 12, '132225': 13, '132253': 14, '134710': 13, '134711': 13, '594410': 15, '594411': 15, '592210': 14, '592211': 14, '594710': 15}"
35,{}
36,"{'449024': 17, '442212': 14, '442312': 14, '442313': 14, '444913': 15, '229024': 16, '222212': 13, '222312': 13, '224924': 15, '224912': 14, '59024': 14, '59012': 13, '59013': 13, '52212': 11, '52398': 14, '52324': 12, '52312': 11, '54998': 15, '54924': 13, '54912': 12, '279012': 15, '279013': 15, '272298': 16, '272224': 14, '272212': 13, '272398': 16, '272324': 14, '579024': 17, '579012': 16, '572298': 17, '572224': 15, '1179098': 20}"
37,"{'265100': 14, '1322100': 15, '1322101': 15, '135101': 13}"
38,"{'12129': 11, '121287': 14, '12139': 11, '121387': 14, '13129': 11, '131287': 14, '13139': 11, '131387': 14, '29129': 12, '291287': 15, '29139': 12, '291387': 15, '61129': 13, '611287': 16, '611387': 16}"
39,{}
40,"{'1046824': 18, '1043424': 17, '104824': 15, '104812': 14, '104424': 14, '104412': 13, '1049512': 17, '526812': 16, '523424': 16, '523412': 15, '52824': 14, '52812': 13, '52424': 13, '52412': 12, '529512': 16, '266812': 15, '263412': 14, '26812': 12, '26424': 12, '26412': 11, '26427': 12, '269524': 16, '269512': 15, '136812': 14, '136827': 15, '133412': 13, '133427': 14, '13812': 11, '13827': 12, '138115': 14, '13424': 11, '13412': 10, '13427': 11, '139524': 15, '596827': 17, '593427': 16, '59827': 14, '598115': 16, '59424': 13, '59412': 12, '59427': 13, '12134115': 19, '121827': 15, '1218115': 17, '121424': 14, '121412': 13, '121427': 14, '1214115': 16}"
41,"{'45252': 14, '45226': 13, '45227': 13, '45352': 14, '45326': 13}"
42,{}
43,{}
44,"{'44614': 14, '441254': 15, '22614': 13, '221254': 14, '5614': 11, '51254': 12, '13614': 12, '131254': 13, '131255': 13, '59614': 14, '591255': 15}"
45,"{'68486': 16, '68410': 13, '68586': 16, '68510': 13, '34486': 15, '34410': 12, '34586': 15, '34510': 12, '8486': 13, '8410': 10, '8411': 10, '8586': 13, '8510': 10, '8511': 10, '81386': 14, '81310': 11, '82986': 15, '43610': 12, '41886': 14, '41810': 11, '4486': 12, '4410': 9, '4411': 9, '4510': 9, '4511': 9, '41386': 13, '41310': 10, '41311': 10, '42986': 14, '46186': 15, '412586': 16, '23610': 11, '23611': 11, '21810': 10, '21811': 10, '2410': 8, '2411': 8, '2586': 11, '2510': 8, '2511': 8, '21386': 12, '21310': 9, '22986': 13, '22910': 10, '26186': 14, '26110': 11, '26111': 11, '212586': 15, '212510': 12, '212511': 12}"
46,{}
47,{}
48,{}
49,"{'963822': 17, '483822': 16, '483811': 15, '243811': 14, '123811': 13, '123851': 15}"
50,"{'221082': 13, '225410': 14, '22542': 12, '221310': 12, '22132': 10, '210810': 12, '21082': 10, '25410': 11, '21310': 9, '211910': 12}"
51,"{'401129': 14, '401161': 15, '201129': 13, '201161': 14, '211129': 13}"
52,{}
53,{'1159111': 17}
54,"{'595442': 17, '591342': 15, '591321': 14, '5911921': 17, '1215442': 18, '1211342': 16, '1211321': 15, '12111921': 18}"
55,{}
56,"{'563826': 16, '563855': 17, '56926': 14, '56955': 15, '568755': 18, '283826': 15, '283855': 16, '28926': 13, '28955': 14, '288726': 16, '288755': 17, '143855': 15, '149106': 14, '14926': 12, '14955': 13}"
57,"{'425124': 15, '42562': 14}"
58,{}
59,"{'38124': 12, '38125': 12, '381114': 15, '19124': 11, '19125': 11, '191255': 14, '191114': 14, '41124': 12, '41125': 12, '411255': 15, '411114': 15, '85125': 13, '851114': 16}"
60,"{'9410811': 17, '945410': 16, '945411': 16, '942786': 18, '942710': 15, '945786': 19, '1110810': 14, '1110811': 14, '115486': 16, '115410': 13, '112786': 15, '112710': 12, '5110810': 16, '515486': 18, '512786': 17, '10510810': 17, '1055486': 19, '1052786': 18, '1055786': 19}"
61,"{'404829': 16, '402429': 15, '204829': 15, '202429': 14, '104829': 14, '102429': 13}"
62,"{'64209': 15, '64879': 17, '32209': 14, '32879': 16, '16209': 13, '16879': 15, '168787': 18, '8209': 12, '82087': 15}"
63,"{'422110': 14, '42213': 11, '45110': 12, '4513': 9, '4529': 10, '4561': 11, '45125': 12}"
64,"{'120446': 15, '12045': 12, '120455': 15, '60446': 14, '6045': 11, '60455': 14, '602346': 16, '61446': 14, '6145': 11, '61455': 14, '612346': 16}"
65,{}
66,"{'4558': 11, '4559': 11}"
67,{}
68,{}
69,"{'661164': 16, '66584': 15, '661438': 16, '66144': 13, '161164': 14, '16584': 13, '161438': 14, '16144': 11, '81164': 13, '8584': 12, '81438': 13, '8144': 10, '91164': 13, '9584': 12, '91438': 13, '9144': 10, '431164': 15, '43584': 14, '43144': 12, '891164': 16, '89584': 15, '89144': 13}"
70,{}
71,"{'81264': 13, '191264': 14}"
