17,"{'111748': 14, '11874': 13, '11218': 11, '1154': 9, '1113': 7, '1129': 8, '1161': 9, '11125': 10, '11507': 12, '111017': 13, '251748': 15, '25874': 14, '25218': 12, '2554': 10, '2513': 8, '2529': 9, '2561': 10, '25125': 11, '25507': 13, '251017': 14, '53874': 15, '53218': 13, '5354': 11, '5313': 9, '5329': 10, '5361': 11, '53125': 12, '531017': 15, '43954': 14, '43913': 12, '43929': 13, '43961': 14, '439125': 15, '439507': 17, '881218': 17, '88154': 15, '88113': 13, '88129': 14, '88161': 15}"
18,{}
19,"{'1704216': 18, '1704108': 17, '1704443': 19, '852216': 17, '852108': 16, '852109': 16, '852443': 18, '426216': 16, '426108': 15, '426109': 15, '106864': 16, '106432': 15, '106216': 14, '106108': 13, '106109': 13, '106443': 15, '106889': 16, '26864': 14, '26432': 13, '26216': 12, '26108': 11, '26109': 11, '26443': 13, '26889': 14, '27864': 14, '27432': 13, '27216': 12, '27108': 11, '27109': 11, '27443': 13, '27889': 14, '57864': 15, '57432': 14, '57108': 12, '57109': 12, '57443': 14, '471432': 17}"
20,"{'111942': 14, '11242': 11, '1160': 9, '1161': 9, '11125': 10, '11507': 12, '111017': 13, '83161': 15}"
21,{'1014118': 16}
22,"{'238242': 15, '238487': 16, '238977': 17, '29484': 13, '29242': 12, '29487': 13, '29977': 14, '291957': 15, '61487': 14, '61977': 15, '611957': 16, '125484': 15, '125242': 14, '125487': 15, '125977': 16, '1251957': 17}"
23,"{'32222': 13, '80364': 15, '80182': 14, '8022': 11, '40728': 15, '40364': 14, '40182': 13, '4022': 10, '20728': 14, '20364': 13, '20182': 12, '2022': 9, '205': 7, '10728': 13, '10364': 12, '10182': 11, '1022': 8, '105': 6, '11728': 13, '11364': 12, '11182': 11, '1122': 8, '115': 6, '1127': 8, '11115': 10, '11935': 13, '415182': 16, '41522': 13, '4155': 11, '41527': 13, '833182': 17, '83322': 14, '8335': 12, '83327': 14, '833935': 19, '16695': 13, '166927': 15}"
24,"{'145810': 14, '14585': 13, '3641380': 19, '364690': 18, '364172': 16, '36486': 15, '36410': 12, '3645': 11, '182172': 15, '18210': 11, '1825': 10, '45690': 15, '45172': 13, '4586': 12, '4510': 9, '455': 8, '931380': 17, '93690': 16, '93172': 14, '9386': 13, '9310': 10, '935': 9, '189172': 15, '18910': 11, '1895': 10, '763172': 17, '76386': 16, '76310': 13, '7635': 12, '152986': 17, '152910': 14, '15295': 13}"
25,"{'41500': 13, '4750': 12, '446': 8, '423': 7, '499': 9, '4201': 10, '41623': 13, '51500': 13, '5750': 12, '546': 8, '523': 7, '599': 9, '5201': 10, '51623': 13, '551500': 16, '55750': 15, '5546': 11, '5523': 10, '5599': 12, '55201': 13, '551623': 16, '22746': 13, '22723': 12, '22799': 14, '227201': 15}"
26,"{'81410': 14, '8352': 12, '8176': 11, '888': 10, '844': 9, '39352': 14, '39176': 13, '3988': 12, '3944': 11, '3922': 10, '16388': 14, '16344': 13, '16322': 12}"
